0,프리바이오틱(이소말토올리고당),프리바이오틱스 체내 효소 분해 되지 않기 흡수 되지 않고 도달 하는 올리고당 장내 미생물 먹이 사용 되어 장내 균총 개선 시키는 보고 되고
1,글루코아밀라아제,글루코아밀라아제는 α-14 결합을 순서대로 가수분해할 뿐만 아니라 α-16 결합도 가수분해할 수 있다 전분 분해 효소는 비정제 효소 (crude enzyme) 또는 정제 효소 (purified enzyme)의 형태로 시중에서 판매하고 있다
2,헤미셀룰라아제,헤미셀룰라아제는 빵 반죽의 끈적거림을 감소시키고 빵 의 부피와 내부 구조를 향상 시키며 저장수명의 증가 노화 의 감소에 관한 연구 등에 많이 이용되고 있다(6-12)
3,아밀라아제,무에 있는 디아스타제 효소와 아밀라아제 효소는 음식물의 소화를 돕고 장 기능을 원활하게 하는 효능이 있습니다 이러한 이유로 과식으로 속이 더부룩할 때 무를 먹으면 위가 편해지면서 소화가 잘 되는 현상을 느낄 수 있습니다 단 소화 촉진을 목적으로 무를 생으로 먹어야 합니다
4,프로테아제,프로테아제 포스 파타 억제제 칵테일 단백질 분해 단백질 탈 산화 방지 세포 용해 단백질 추출 검체 준비 단백질 활 성 상태 유지 합니다 세포소기관 분획 단백질 농축 통해 단백질 체학 연구 단백질 식별 연구 할 있습니다
5,세라펩타아제,세라 펩 단백질 분해 하는 성능 매우 뛰어납니다 효능 사람 섭취 할 경우 몸 안 변성 단백질 세포 분해 제거 하는 효과 있는 알려졌습니다
6,프리바이오틱(이소말토-올리고당),프리바이오틱스 체내 효소 분해 되지 않기 흡수 되지 않고 도달 하는 올리고당 장내 미생물 먹이 사용 되어 장내 균총 개선 시키는 보고 되고
7,나토키나아제,나토 키나제 강력한 혈전 분해 능력 프로 유로 키나제 활성화 능력 혈전 형성 막고 혈관 폐색 치료 합니다 콜레스테롤 중성 지방 제거 하여 고지혈증 개선 시키는 효과 있습니다 일반 다한 콜레스테롤 동맥경화 뇌경색 심근경색 일으키는 요인 됩니다
8,damiana (잎),다미아나 잎은 생식기 영역으로의 혈류를 증가시켜 발기를 촉진하는 기능이 있기 때문에 천연 최음제로 사용되며 마야 인디언을 포함한 멕시코 원주민의 성적 능력을 향상시키고 남성과 여성의 성적 자극 에너지 천식 우울증 발기부전 및 월경 문제에 사용되었습니다
9,fenugreek (종자),호로 ​ 파 여성 성 호르몬 에스트로겐 유사한 화학 물질 디오스 닌 에스트로겐 소 플 본이 들어있어 유방 발육 촉진 폐경기 증상 줄이는데 도움 될 있으며 호로 파 함유 된 트리 넬린 비타민 B 3 매우 유사한 구조 가진 알칼로이드 항균 항 바이러스 지질 강하 혈당
